ean,energy_kj,energy_kj_100g,energy_kcal,energy_kcal_100g,fat,fat_100g,saturated_fat,saturated_fat_100g,monounsaturated_fat,monounsaturated_fat_100g,polyunsaturated_fat,polyunsaturated_fat_100g,carbohydrates,carbohydrates_100g,sugars,sugars_100g,fiber,fiber_100g,proteins,proteins_100g,salt,salt_100g,sodium,sodium_100g,fruits_vegetables_nuts_estimate_100g,fruits_vegetables_nuts_100g,vitamin_a,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,pantothenic_acid,nova_group,nutriments_nova_group,nova_group_100g,nutrition_score_fr,nutrition_score_fr_100g,nutrient_levels
5060337501316,10.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.08,0.08,0.0,,,,,0.0085,0.0008,,2.5e-06,,,,0.0042,4,4,4,4,4,"{""saturated-fat"":""low"",""salt"":""moderate"",""sugars"":""low"",""fat"":""low""}"
8015057003760,,,174.0,174.0,0.4,0.4,0.2,0.2,,,,,37.6,37.6,0.2,0.2,,,4.5,4.5,0.87,0.87,0.348,0.348,0.0,,,,,,,,,,,,,4,4,4,5,5,"{""salt"":""moderate"",""saturated-fat"":""low"",""fat"":""low"",""sugars"":""low""}"
8423352861402,198.0,198.0,47.0,47.0,0.7,0.7,0.1,0.1,0.3,0.3,0.3,0.3,8.2,8.2,5.4,5.4,0.7,0.7,1.6,1.6,0.03,0.03,0.012,0.012,0.0,,,,,,,,,,,,,1,1,1,5,5,"{""saturated-fat"":""low"",""salt"":""low"",""sugars"":""moderate"",""fat"":""low""}"
8424523030016,392.0,392.0,94.0,94.0,5.1,5.1,0.7,0.7,,,,,9.1,9.1,7.6,7.6,1.4,1.4,2.0,2.0,0.5,0.5,0.2,0.2,97.2,96.0,,,,,,,,,,,,3,3,3,0,0,"{""sugars"":""moderate"",""fat"":""moderate"",""salt"":""moderate"",""saturated-fat"":""low""}"
8425514085619,,,262.0,262.0,1.7,1.7,1.1,1.1,,,,,50.0,50.0,3.2,3.2,4.4,4.4,9.4,9.4,1.5,1.5,0.6,0.6,0.0,,,,,,,,,,,,,3,3,3,9,9,"{""salt"":""moderate"",""saturated-fat"":""low"",""fat"":""low"",""sugars"":""low""}"
6945845570018,547.0,547.0,131.0,131.0,2.1,2.1,0.3,0.3,,,,,23.6,23.6,0.0,0.0,,,3.0,3.0,1.5,1.5,0.6,0.6,38.88889,,,,,,,,,,,,,4,4,4,7,7,"{""sugars"":""low"",""fat"":""low"",""saturated-fat"":""low"",""salt"":""moderate""}"
8480000582485,2040.0,2040.0,492.0,492.0,42.6,42.6,17.0,17.0,,,,,1.8,1.8,1.5,1.5,,,25.6,25.6,3.5,3.5,1.4,1.4,0.0,,,,,,,,,,,,,4,4,4,33,33,"{""saturated-fat"":""high"",""sugars"":""low"",""fat"":""high"",""salt"":""high""}"
8480000161178,,,33.0,33.0,0.2,0.2,0.0,0.0,,,,,6.4,6.4,5.0,5.0,,,0.5,0.5,1.0,1.0,0.4,0.4,,,,,,,,,,,,,,,,,0,0,"{""saturated-fat"":""low"",""salt"":""moderate"",""sugars"":""moderate"",""fat"":""low""}"
8410415370728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
8410109001136,,,570.0,570.0,40.0,40.0,17.0,17.0,,,,,38.0,38.0,36.0,36.0,,,9.9,9.9,0.06,0.06,0.024,0.024,,,,,,,,,,,,,,,,,27,27,"{""fat"":""high"",""sugars"":""high"",""saturated-fat"":""high"",""salt"":""low""}"
