ean,quantity,product_quantity,product_quantity_unit
5060337501316,500ml,500.0,ml
8015057003760,500 g,500.0,g
8423352861402,1 l,1000.0,ml
8424523030016,400g,400.0,g
8425514085619,465g  6 und,465.0,g
6945845570018,300g,300.0,g
8480000582485,200g,200.0,g
8480000161178,290 g,290.0,g
8410415370728,750 ml,750.0,ml
8410109001136,"",,
8410297159992,700g,700.0,g
8437013139250,300 g,300.0,g
8480000103765,200 ml,200.0,ml
5601055317225,200g,200.0,g
8480000279446,250 ml,250.0,ml
8480000613639,600g,600.0,g
8480000590909,240 g ( 4 x 60 g),240.0,g
8480000070319,1 l,1000.0,ml
8480000681492,400 g (4 x 100 g),400.0,g
8480000114006,40g,40.0,g
8480000140388,"268 g (8 x 33,5 g)",268.0,g
8480000093332,175g,175.0,g
8480000175021,50g,50.0,g
8480000165190,110 g,110.0,g
8411131010592,125g,125.0,g
8480000511928,"",,
8001405089876,250 g,250.0,g
8480000044914,350 g,350.0,g
8480000634740,520g,520.0,g
8480000645142,1000 ml (15 x 66 ml),990.0,ml
8480000290762,2 l,2000.0,ml
8007640986970,96g,96.0,g
8480000186195,"",,
8480000050205,1 kg,1000.0,g
8480000062772,500 g,500.0,g
8480000340955,125 g,125.0,g
8480000290779,2 l,2000.0,ml
8480000143259,4 x 200 g,800.0,g
8480000141590,500 g,500.0,g
8480000633392,400 g,400.0,
8480000044877,350 g,350.0,g
8480000044938,350 g,350.0,g
8480000141538,6x42g,252.0,g
8410175056603,235 g,235.0,
8480000349637,200 g,200.0,g
8411769004185,240 g,240.0,g
8410175073761,410g  - 24 tomas,410.0,g
8480000650702,"",,
8480000182128,"180 g (neto, 2 x 90 g), 130 g (escurrido, 2 x 65 g)",180.0,g
8480000106421,250 ml,250.0,ml
8410175056559,235 g,235.0,g
8480000621214,"",,
8480000125248,100 g,100.0,
8480000323613,2 x 85 g E- 120 ( informaros son insectos),170.0,g
8480000826565,350 gramos,350.0,g
8480000091901,200ml,200.0,ml
8410175056634,"",,
8480000174413,1pcs,0.0,
8411767020811,750 ml,750.0,ml
8480000125309,200 g,200.0,g
8480000636133,415 g,415.0,g
8480000106780,1 L,1000.0,ml
8480000290489,"",,
8480000641960,6 x 65 g,390.0,g
8480000341709,70 g,70.0,g
8480000117441,250 g,250.0,g
8420887060331,330 ml,330.0,ml
8437013139038,150 g,150.0,g
8480000124760,100 g,100.0,g
8480000107312,1 litro,1000.0,ml
8480000282644,250ml,250.0,ml
8410106023254,750 ml,750.0,ml
8480000823311,220g,220.0,g
8480000213334,280 g,280.0,g
8480000876010,520 g,520.0,g
8410128160036,9 l,9000.0,ml
8480000291066,5 kg,5000.0,g
8410744008675,750 ml,750.0,ml
8480000581549,"",,
8410297113673,"",,
84195326,33 cl,330.0,ml
8420887000306,3 l,3000.0,ml
8480000611253,450 g,450.0,
8480000289384,750 ml,750.0,
8480000285768,"1,5 l",1500.0,ml
8480000876027,1.900g,1.9,g
8412837250015,"",,
8421384092375,"",,
8480000807847,250 g,250.0,g
8480000282668,"1,5 l",1500.0,ml
8410055151039,6 l,6000.0,ml
8480000125866,100 g,100.0,
8480000667830,,,
8711000500613,132.8 g,132.8,g
8413481112100,,,
8410744002178,750 ml,750.0,
8480000144300,500g,500.0,g
8480000505453,300g,300.0,g
8480000095886,400 g,400.0,g
8412423121705,750 ml,750.0,ml
8480000645227,6 x 110 ml,660.0,ml
8480000808929,240 g,240.0,g
8437016313015,,,
8480000062741,,,
8480000142412,250 g,250.0,g
8437008459097,1 litro,1000.0,ml
8480000707413,150 ml,150.0,ml
8480000168627,150 g,150.0,
8480000168832,500 g,500.0,g
8480000860088,550 g,550.0,g
8480000134066,500ml,500.0,ml
8480000403155,1kg,1000.0,g
8423408104002,1 l,1000.0,
8480000136091,250 ml,250.0,ml
8480000136367,112 g,112.0,g
8480000135025,400 g (2 x 200 g),400.0,g
8480000106728,250 ml,250.0,ml
8480000111715,250 g,250.0,g
8480000713803,,,
8480000107541,"",,
8410184040754,2 x 125 g,250.0,g
5449000059840,4 x 500ml,2000.0,ml
8480000222497,250g,250.0,g
8410184040747,250g,250.0,g
8480000135964,104 g,104.0,g
8480000159533,"24 unidades, 52 gramos",52.0,g
8480000221643,200 g,200.0,g
8402001000621,400 g,400.0,g
8480000135933,500 g,500.0,g
8480000159670,285 g  (125g escurridos) 16/09/22,285.0,g
8480000521767,240 g (3 x 80 g),240.0,g
8480000141736,150 g,150.0,g
8402001000591,450 g,450.0,g
8480000591654,"125 g (4 x 31,25 g)",125.0,g
8423352861792,250 ml,250.0,ml
8480000229328,,,
8437008459103,"1,5 Litros",1500.0,ml
8480000235602,,,
8480000233653,200g,200.0,
8480000235626,350 g,350.0,g
8480000232311,108 g,108.0,g
8480000230539,,,
8411767281151,750 ml,750.0,ml
8854692010357,250 ml,250.0,ml
8413041318065,330 ml,330.0,ml
8480000676603,250 g,250.0,g
8480000236777,,,
8480000860743,225 g,225.0,g
8480000866844,440g,440.0,g
8410537600727,0.7l,700.0,ml
8480000606990,"",,
8480000722058,,,
8480000227201,350 g,350.0,g
8480000862020,250g,250.0,g
8480000138569,430 g,430.0,g
5411188137993,400 g,400.0,g
8437012660113,,,
8402001001451,250 g,250.0,g
8480000706522,150g,150.0,g
8480000602435,225 g,225.0,g
8402001012433,"",,
8480000467300,,,
8480000403223,500ml,500.0,ml
8480000524089,250,0.0,
8402001016080,145 g,145.0,g
8402001012198,45 g,45.0,g
8402001011740,24 g,24.0,g
8402001014369,1 litro,1000.0,ml
8480000849939,,,
8402001013102,"",,
8424465903799,240g,240.0,g
8480000622280,600g,600.0,g
8480000231468,350g,350.0,g
8402001002618,"",,
8436569263198,200g,200.0,g
8480000055934,280g - 155g,280.0,g
8480000624031,,,
8402001013553,80 g,80.0,g
8402001022159,100 g,100.0,g
8402001015687,,,
8436021418654,8 x 35 g,280.0,g
8480000238450,,,
8480000221896,4 x 130 g,520.0,g
8480000600899,,,
8402001024931,200ml,200.0,ml
8402001021442,,,
8480000064592,,,
8402001015403,,,
8480000301383,100 g,100.0,g
8480000096272,700 gr,700.0,g
8402001017902,"",,
8402001022562,"",,
8480000678027,,,
8402001022364,"",,
8402001026270,,,
8480000603487,"",,
8480000055477,"",,
8402001016547,4 x 130 g,520.0,g
8402001013546,,,
8402001015731,51 g.,51.0,g
8436565363229,,,
8402001027185,,,
8480000694485,2kg,2000.0,g
8402001026263,,,
8402001025341,,,
5010106113127,0.70l,700.0,ml
8410261151625,"1,5 l",1500.0,ml
8410261152417,"1,5 l",1500.0,ml
8410261206189,250 ml (3 X 250ml),750.0,ml
8410261626802,2 l,2000.0,ml
8410261640228,200 ml,200.0,ml
8410261641416,6,0.0,
8410261773278,"",,
8410261773346,"",,
8410283008006,"1,5 l",1500.0,ml
8410283348058,"2 X 1,5 litros",3000.0,ml
8410297111150,"1,5 l",1500.0,ml
8410300100010,24,0.0,
8410300101598,72 g,72.0,g
8410300349006,1 l,1000.0,ml
8410300349051,1 L,1000.0,ml
8410331000020,120 g,120.0,g
8410422005026,180 ml,180.0,ml
8410448000937,340 g,340.0,g
8410486078042,"",,
8410486081011,150g,150.0,g
8410500001360,960 g,960.0,g
8410261271101,1 l,1000.0,ml
8480000063410,500g,500.0,g
8480000399809,"",,
8480000290076,1kg  (16/09/22),1000.0,g
8711571056861,"",,
8425514214583,200g,200.0,g
8410320014212,Taquitos de insecto cochinilla E-120,0.0,
8480000399663,330 ml,330.0,ml
8480000636454,420 g,420.0,g
8480000650887,150g,150.0,g
8480000200419,500 g (4x125g),500.0,g
8480000173829,250ml,250.0,ml
8480000511980,300 g,300.0,g
8480000145819,180 g,180.0,g
8425514135154,625g,625.0,g
8716062000606,200 g,200.0,g
8436047157124,400 g,400.0,g
8480000150776,440 g,440.0,g
8480000832313,"",,
8410500017545,1000 g (100 g x 10),1000.0,g
8480000095329,375 g,375.0,g
8480000644008,"1000 ml, 550 g",1000.0,ml
8410162011127,1 L,1000.0,ml
8480000213105,8 x 125 g,1000.0,g
8480000242495,"",,
8480000184023,140 g,140.0,g
8480000827876,"",,
8480000290441,330ml,330.0,ml
8480000635518,400 g,400.0,g
8411700811117,,,
8480000631633,500 g,500.0,g
8480000635297,430 g,430.0,g
8480000512086,200 g,200.0,g
8480000146373,200 g,200.0,g
8480000348173,315 g,315.0,g
5449000144607,"2,64 l",2640.0,ml
8410744002161,750 ml,750.0,
8411713212185,"",,
8410297113666,"",,
8411700810011,6 l,6000.0,ml
8480000290335,"",,
8480000590718,"",,
8480000772411,,,
8480000290397,"",,
8480000809391,300g (2x150g),300.0,g
8480000293732,500 g,500.0,g
8437006003544,"",,
5000281015286,,,
8410505320145,200 g,200.0,g
8480000209085,480 g (4 x 120 g),480.0,g
8480000645234,"",,
8480000341020,75.0 g,75.0,g
8410014477750,360g,360.0,g
8410014477743,360 g,360.0,g
8480000651648,45 g,45.0,g
8436021415882,1 kg,1000.0,
8480000213273,500 g,500.0,g
8480000534460,"",,
8435324003727,2 x 120 g,240.0,g
8480000138897,80g,80.0,g
8480000707314,,,
8410086000856,neto 660g -  escurrido 400g,660.0,g
8480000134455,300g,300.0,g
8480000155276,100 g,100.0,g
8480000156617,"1 kg, 964 ml",1000.0,g
8480000156112,400 g,400.0,g
8480000160461,95 g,95.0,g
8480000156600,1Kg,1000.0,g
8410184040723,250g,250.0,g
8007253900660,700 ml,700.0,ml
